State,Year,Democratic Vote,Republican Vote
MO,2012,44.4,53.8
MO,2016,38.14,56.77
MO,2020,41.41,56.8
MS,1972,19.63,78.2
MS,1976,49.56,47.68
MS,1980,48.09,49.42
MS,1984,37.46,61.85
MS,1988,39.07,59.89
MS,1992,40.77,49.68
MS,1996,44.08,49.21
MS,2000,40.7,57.62
MS,2004,39.76,59.45
MS,2008,43.0,56.18
MS,2012,43.8,55.3
MS,2016,40.06,57.86
MS,2020,41.06,57.6
MT,1972,37.85,57.93
MT,1976,45.4,52.84
MT,1980,32.43,56.82
MT,1984,38.18,60.47
MT,1988,46.2,52.07
MT,1992,37.63,35.12
MT,1996,41.23,44.11
MT,2000,33.36,58.44
MT,2004,38.56,59.07
MT,2008,47.25,49.51
MT,2012,41.7,55.4
MT,2016,35.75,56.17
MT,2020,40.55,56.92
NC,1972,28.89,69.46
NC,1976,55.27,44.22
NC,1980,47.18,49.3
NC,1984,37.89,61.9
NC,1988,41.71,57.97
NC,1992,42.65,43.44
NC,1996,44.04,48.73
NC,2000,43.2,56.03
NC,2004,43.58,56.02
NC,2008,49.7,49.38
NC,2012,48.4,50.4
NC,2016,46.17,49.83
NC,2020,48.59,49.93
ND,1972,35.79,62.07
ND,1976,45.8,51.66
ND,1980,26.26,64.23
ND,1984,33.8,64.84
ND,1988,42.97,56.03
ND,1992,32.18,44.22
ND,1996,40.13,46.94
ND,2000,33.06,60.66
ND,2004,35.5,62.86
ND,2008,44.62,53.25
ND,2012,38.7,58.3
ND,2016,27.23,62.96
ND,2020,31.76,65.11
NE,1972,29.5,70.5
NE,1976,38.46,59.19
NE,1980,26.04,65.53
NE,1984,28.81,70.55
NE,1988,39.2,60.15
NE,1992,29.4,46.58
NE,1996,34.95,53.65
NE,2000,33.25,62.25
NE,2004,32.68,65.9
NE,2008,41.6,56.53
NE,2012,38.0,59.8
NE,2016,33.7,58.75
NE,2020,39.17,58.22
NH,1972,34.86,63.98
NH,1976,43.47,54.75
NH,1980,28.35,57.74
NH,1984,30.95,68.66
NH,1988,36.33,62.49
NH,1992,38.91,37.69
NH,1996,49.32,39.37
NH,2000,46.8,48.07
NH,2004,50.24,48.87
NH,2008,54.13,44.52
NH,2012,52.0,46.4
NH,2016,46.98,46.61
NH,2020,52.71,45.36
NJ,1972,36.77,61.57
NJ,1976,47.92,50.08
NJ,1980,38.56,51.97
NJ,1984,39.2,60.09
NJ,1988,42.6,56.24
NJ,1992,42.95,40.58
NJ,1996,53.72,35.86
NJ,2000,56.13,40.29
NJ,2004,52.92,46.24
NJ,2008,57.27,41.7
NJ,2012,58.4,40.6
NJ,2016,55.45,41.35
NJ,2020,57.33,41.4
NM,1972,36.56,61.05
NM,1976,48.28,50.75
NM,1980,36.78,54.97
NM,1984,39.23,59.7
NM,1988,46.9,51.86
NM,1992,45.9,37.34
NM,1996,49.18,41.86
NM,2000,47.91,47.85
NM,2004,49.05,49.84
NM,2008,56.91,41.78
